sid,real,predict,prob,flag
2910202033,0,0,0.6945497781,0
2010071010015,0,0,0.9550009166,0
2010033050006,0,0,0.9508819368,0
2010084020025,0,0,0.9775997925,0
2902108012,0,0,0.893249582,0
2010080040009,0,0,0.8659772893,0
2010080040021,0,0,0.7827105931,0
2010071050025,0,0,0.8774911735,0
2010030030031,0,0,0.9845882184,0
2903001032,0,0,0.9393385124,0
2902109013,0,0,0.9501044976,0
2913103006,0,0,0.6945497781,0
2010052010017,0,0,0.9150736882,0
2908008010,0,0,0.9494602518,0
2010012010029,0,0,0.9042507126,0
2909102005,0,0,0.9482465331,0
2010073030001,0,0,0.977623651,0
2901309032,1,1,0.4783657822,3
2901311018,0,0,0.9646233958,0
2903305017,0,0,0.9574591868,0
2010013060016,0,0,0.9466320186,0
2010033010002,0,0,0.9756326414,0
2010021110005,1,0,0.886682526,2
2010111040029,0,0,0.971963919,0
2010033030018,0,0,0.9646395696,0
2911103011,0,0,0.9781375646,0
2010127020022,0,0,0.9057760137,0
2010102010024,0,0,0.8962542759,0
2010013010004,0,0,0.9837513408,0
2911101030,0,0,0.8705613169,0
2903005025,0,0,0.9798574546,0
2010080060029,0,0,0.9871217837,0
2010231020011,0,0,0.9160503159,0
2010013090012,0,0,0.9847054268,0
2010111030016,0,0,0.9788436011,0
2010051030024,0,0,0.9541006309,0
2010030040004,0,0,0.9555132798,0
2010063010004,0,0,0.9641136754,0
2910101027,0,0,0.8848945168,0
2010060030002,0,0,0.9781666579,0
2913104001,0,0,0.8724839094,0
2010063060028,0,0,0.9850003125,0
2010012030031,0,0,0.904187352,0
2909201007,0,0,0.9712252868,0
2903203010,1,0,0.8516803536,2
2911103017,0,0,0.9729346788,0
2903303016,0,0,0.9487291362,0
2902111031,0,0,0.9812540709,0
2905302005,0,0,0.9719707667,0
2010012010007,0,0,0.936245134,0
2913104020,0,0,0.6945497781,0
2010021110010,1,0,0.9219390554,2
2010020040009,0,0,0.9814101776,0
2010126010015,0,0,0.9794167442,0
2010084020009,0,0,0.957843567,0
2010073060027,0,0,0.9840146826,0
2901201005,1,0,0.6413686013,2
2010084030010,0,0,0.862520401,0
2010012020034,1,0,0.7217714818,2
2010023020023,0,0,0.9413618787,0
2010013050022,0,0,0.9736752683,0
2010071040011,0,0,0.9785223363,0
2010021020015,0,0,0.9645164647,0
2010071040004,0,0,0.9721616066,0
2905103025,0,0,0.9715938816,0
2010013100021,0,0,0.9488703374,0
2010021050018,0,0,0.9759854214,0
2010052010016,0,0,0.9739322257,0
2010025020005,0,0,0.9822124136,0
2901305001,1,0,0.7549541116,2
2903304001,0,0,0.9777936549,0
2902105034,0,0,0.9778541305,0
2902003032,0,0,0.9582371996,0
2010073050015,0,0,0.980744105,0
2010013110003,0,0,0.9715705221,0
2010051010022,0,0,0.9708453639,0
2010013090021,0,0,0.9861045642,0
2010031030002,0,0,0.9652918983,0
2903402017,0,0,0.9660272147,0
2902103003,0,0,0.9454267848,0
2903001031,0,0,0.9836544182,0
2010032020036,0,0,0.984537193,0
2010054050016,0,0,0.9308244306,0
2908403021,0,0,0.9591246497,0
2010051050031,0,0,0.9848985399,0
2010073010002,1,0,0.8238416223,2
2010020030011,0,0,0.6945497781,0
2905402006,0,0,0.9788311751,0
2010042010009,0,0,0.8907387951,0
2907302006,0,0,0.9630234262,0
2903305028,0,0,0.976742881,0
2911101015,0,0,0.9828348879,0
2010020010008,0,0,0.9342123548,0
2905105017,0,0,0.9516640828,0
2010031010015,0,0,0.9667184302,0
2010042030003,0,0,0.9654477337,0
2908004021,0,0,0.9381381345,0
2010013110001,0,0,0.9824043796,0
2010080080028,0,0,0.968490162,0
2010101020006,0,0,0.9417246353,0
2010127020002,0,0,0.8546650065,0
2902002005,0,0,0.9646631457,0
2909103021,0,1,0.4127298285,1
2902003014,0,0,0.9841764583,0
2010060060009,0,0,0.9813668537,0
2010021100005,0,0,0.9113658761,0
2010102020015,0,0,0.9199678005,0
2010013060013,0,0,0.9785353954,0
2912801012,0,0,0.9465400548,0
2010054050022,0,0,0.9845294015,0
2906306031,0,0,0.9788620567,0
2906004005,0,0,0.9683082637,0
2905102016,1,1,0.4622786303,3
2010063020009,0,0,0.962633259,0
2010030030006,0,0,0.9545263374,0
2904102005,0,0,0.9841380446,0
2010060030019,0,0,0.9576554898,0
2912801013,1,0,0.8775181754,2
2901310014,0,0,0.8626048169,0
2010052020030,0,0,0.9836961762,0
2010051050025,0,0,0.9812429211,0
2010031020003,0,0,0.9287040064,0
2010111030009,0,0,0.8890437762,0
2010054050002,0,0,0.8256598379,0
2909103028,0,0,0.7999269881,0
2010032010027,1,0,0.7415084362,2
2010127030027,0,0,0.885881008,0
2906006012,0,0,0.945289869,0
2902102016,0,0,0.9198906612,0
2010060030014,0,0,0.941185821,0
2906005035,0,0,0.9689940028,0
2904204012,0,0,0.9345094818,0
2010111040006,0,0,0.9544160302,0
2010124010031,0,0,0.9102240688,0
2010063050001,0,0,0.9500771355,0
2909102024,0,0,0.9074891652,0
2010013050024,0,0,0.8549846302,0
2010051050029,0,0,0.9798776514,0
2906004030,1,0,0.9355048419,2
2010060060031,0,0,0.9808948574,0
2010102020009,0,0,0.9204833785,0
2904102026,0,0,0.9659850683,0
2010060040002,0,0,0.8539893022,0
2903305006,0,0,0.9716302521,0
2912401008,0,0,0.6926355966,0
2903305029,0,0,0.9507322505,0
2010030020006,0,0,0.9688894831,0
2902109032,0,0,0.9581837794,0
2010013070002,0,0,0.8588497962,0
2010013020009,0,0,0.8717141177,0
2912601006,0,0,0.950557477,0
2902109031,0,0,0.742661214,0
2907101003,0,0,0.9733053619,0
2903003024,0,0,0.9799155351,0
2901310011,0,0,0.962700889,0
2901101030,0,0,0.983640181,0
2908402026,0,0,0.9807978687,0
2010031010016,1,0,0.9345616215,2
2903402021,0,0,0.8567136245,0
2902002021,0,0,0.7433376387,0
2010020020035,0,0,0.9065148536,0
2901308020,0,0,0.9840309291,0
2903303023,1,0,0.7491104796,2
2010111010003,0,0,0.9816323716,0
2905104019,0,0,0.9224078861,0
2010033010012,0,0,0.9704838796,0
2010071050031,0,0,0.9588105689,0
2010001030007,0,0,0.9449242535,0
2903305027,0,0,0.9627826368,0
2010025010015,1,0,0.9157381108,2
2902105035,0,0,0.8456796741,0
2010021080008,1,0,0.978447053,2
2903401020,1,0,0.7474178854,2
2010043010023,1,0,0.9717709075,2
2910101004,0,0,0.7581321184,0
2010080060008,0,0,0.9598347196,0
2010080080002,0,0,0.9524421696,0
2010034010012,1,0,0.9229277619,2
2010051050020,0,0,0.9534603176,0
2906304022,0,0,0.9492302432,0
2912701019,0,0,0.8384414945,0
2010073010015,0,0,0.9809064698,0
2906007015,0,0,0.9240718753,0
2913103014,0,0,0.852322144,0
2010111030004,0,0,0.9814720484,0
2901306018,0,0,0.9717348898,0
2010131040005,0,0,0.830154058,0
2904201029,0,0,0.9862767324,0
2906302014,0,0,0.950240603,0
2902106001,0,0,0.9277425285,0
2902105023,0,0,0.9709422614,0
2010080030013,0,0,0.9719086128,0
2010063060005,0,0,0.9807242508,0
2905402029,0,0,0.9698221642,0
2923102020,0,0,0.9701185055,0
2901303002,0,0,0.9783075961,0
2010051020006,0,0,0.9679289734,0
2905403002,0,0,0.9822303349,0
2900101003,0,0,0.8857730308,0
2908403003,0,0,0.9791408852,0
2010051040022,0,0,0.9675806428,0
2010034010022,0,0,0.8648751719,0
2010013010003,0,0,0.9778050859,0
2010023020018,0,0,0.9691878664,0
2010013130022,0,0,0.9184740423,0
2010011020032,0,0,0.980281659,0
2010071060016,0,0,0.9777299348,0
2010084010035,0,0,0.9838675988,0
2010042030002,0,0,0.9339944634,0
2902107016,0,0,0.9408520371,0
2010011010001,0,0,0.9209556807,0
2010060020012,0,0,0.9724048246,0
2010071020018,0,0,0.9825168105,0
2010092010006,0,0,0.8408644529,0
2010126020022,0,0,0.8691626208,0
2902301001,0,0,0.9239600059,0
2010231060017,0,0,0.9043354402,0
2010060020013,0,0,0.9843324765,0
2010071040031,0,0,0.8401926104,0
2010033030017,0,0,0.9805500719,0
2010030020023,0,0,0.9845444151,0
2010231010035,0,0,0.9511380751,0
2903004026,0,0,0.9712040837,0
2906306017,1,0,0.8743780046,2
2010051010011,0,0,0.981831956,0
2901307032,0,0,0.8746972453,0
2010060060002,0,0,0.9874005837,0
2010060040001,0,0,0.9378122107,0
2010052010032,0,0,0.9678991743,0
2903201029,0,0,0.9649769657,0
2010080080024,0,0,0.9061761686,0
2902003007,0,0,0.9766016972,0
2010033040012,1,0,0.6945497781,2
2010084020004,0,0,0.9791176548,0
2910201002,0,0,0.6945497781,0
2907305012,1,0,0.7925065687,2
2010013100029,0,0,0.9012522006,0
2010102020021,0,0,0.917374154,0
2912601024,0,0,0.5874366124,0
2010013110004,0,0,0.9750756136,0
2010101020025,0,0,0.9116190291,0
2902103008,0,0,0.9855176353,0
2010042040029,0,0,0.969449793,0
2010033030004,1,0,0.6945497781,2
2905401013,0,0,0.9787319474,0
2010071040007,0,0,0.9832132988,0
2903401008,0,0,0.9707193481,0
2901304001,0,0,0.9450072205,0
2010091020026,0,0,0.8336409746,0
2010052020028,0,0,0.8440135368,0
2902004008,0,0,0.986293146,0
2901304027,0,0,0.9487175028,0
2923103004,1,0,0.6945497781,2
2904201023,0,0,0.9834205295,0
